Sample ID,Species Common Name,Location,Counts,NewPath
WS_HC7,Warner Sucker,"Honey Creek, OR",1340519,data/mapped/WS_HC7_RA.sort.flt.bam
WCS_04,Wall Canyon Sucker,"Wall Canyon, NV",1339333,data/mapped/WCS_04_RA.sort.flt.bam
WS_HC4,Warner Sucker,"Honey Creek, OR",1303923,data/mapped/WS_HC4_RA.sort.flt.bam
WCS_19,Wall Canyon Sucker,"Wall Canyon, NV",1283090,data/mapped/WCS_19_RA.sort.flt.bam
WCS_21,Wall Canyon Sucker,"Wall Canyon, NV",1281778,data/mapped/WCS_21_RA.sort.flt.bam
WS_HC6,Warner Sucker,"Honey Creek, OR",1275341,data/mapped/WS_HC6_RA.sort.flt.bam
WCS_09,Wall Canyon Sucker,"Wall Canyon, NV",1248944,data/mapped/WCS_09_RA.sort.flt.bam
WCS_25,Wall Canyon Sucker,"Wall Canyon, NV",1205219,data/mapped/WCS_25_RA.sort.flt.bam
WS_HC1,Warner Sucker,"Honey Creek, OR",1204075,data/mapped/WS_HC1_RA.sort.flt.bam
OSKR_1,Owens Sucker,"South Fork, Bishop, CA",1177804,data/mapped/OSKR_1_RA.sort.flt.bam
OSKR_37,Owens Sucker,"Lower Hot Creek, Bishop, CA",1143691,data/mapped/OSKR_37_RA.sort.flt.bam
OSKR_28,Owens Sucker,"Lower Hot Creek, Bishop, CA",1115679,data/mapped/OSKR_28_RA.sort.flt.bam
WS_TMC08,Warner Sucker,"Twentymile Creek, OR",1093051,data/mapped/WS_TMC08_RA.sort.flt.bam
WS_TMC07,Warner Sucker,"Twentymile Creek, OR",1069101,data/mapped/WS_TMC07_RA.sort.flt.bam
WCS_16,Wall Canyon Sucker,"Wall Canyon, NV",1028121,data/mapped/WCS_16_RA.sort.flt.bam
OSKR_33,Owens Sucker,"Lower Hot Creek, Bishop, CA",973937,data/mapped/OSKR_33_RA.sort.flt.bam
WCS_24,Wall Canyon Sucker,"Wall Canyon, NV",972656,data/mapped/WCS_24_RA.sort.flt.bam
WCS_20,Wall Canyon Sucker,"Wall Canyon, NV",962329,data/mapped/WCS_20_RA.sort.flt.bam
WS_HC3,Warner Sucker,"Honey Creek, OR",890194,data/mapped/WS_HC3_RA.sort.flt.bam
OSKR_6,Owens Sucker,"Lower Rock Creek, Bishop, CA",877932,data/mapped/OSKR_6_RA.sort.flt.bam
WS_TMC14,Warner Sucker,"Twentymile Creek, OR",860448,data/mapped/WS_TMC14_RA.sort.flt.bam
WS_TMC03,Warner Sucker,"Twentymile Creek, OR",840999,data/mapped/WS_TMC03_RA.sort.flt.bam
WS_TMC01,Warner Sucker,"Twentymile Creek, OR",809266,data/mapped/WS_TMC01_RA.sort.flt.bam
WS_TMC10,Warner Sucker,"Twentymile Creek, OR",639629,data/mapped/WS_TMC10_RA.sort.flt.bam
WCS_15,Wall Canyon Sucker,"Wall Canyon, NV",625955,data/mapped/WCS_15_RA.sort.flt.bam
WS_DC09,Warner Sucker,"Deep Creek, OR",623166,data/mapped/WS_DC09_RA.sort.flt.bam
WS_TMC13,Warner Sucker,"Twentymile Creek, OR",565752,data/mapped/WS_TMC13_RA.sort.flt.bam
WCS_23,Wall Canyon Sucker,"Wall Canyon, NV",545590,data/mapped/WCS_23_RA.sort.flt.bam
WCS_18,Wall Canyon Sucker,"Wall Canyon, NV",529170,data/mapped/WCS_18_RA.sort.flt.bam
WS_TMC15,Warner Sucker,"Twentymile Creek, OR",499056,data/mapped/WS_TMC15_RA.sort.flt.bam
WS_DC01,Warner Sucker,"Deep Creek, OR",477214,data/mapped/WS_DC01_RA.sort.flt.bam
WS_TMC02,Warner Sucker,"Twentymile Creek, OR",463069,data/mapped/WS_TMC02_RA.sort.flt.bam
WS_TMC05,Warner Sucker,"Twentymile Creek, OR",436590,data/mapped/WS_TMC05_RA.sort.flt.bam
WS_TMC12,Warner Sucker,"Twentymile Creek, OR",425411,data/mapped/WS_TMC12_RA.sort.flt.bam
WS_DC14,Warner Sucker,"Deep Creek, OR",415968,data/mapped/WS_DC14_RA.sort.flt.bam
